epoch,train_loss,val_psnr,val_ssim,epoch_time_sec
1,0.192559,25.3217,0.739203,114.85
2,0.166452,25.3802,0.753643,114.67
3,0.162281,25.4367,0.759011,114.05
4,0.159809,25.4823,0.758900,115.32
5,0.157740,25.6163,0.765071,114.60
6,0.155834,25.6183,0.765811,114.35
7,0.154628,25.6684,0.768776,117.16
8,0.151680,25.9098,0.774229,116.25
9,0.149523,25.9663,0.776649,115.65
10,0.147862,26.0089,0.778419,117.21
11,0.147121,26.1205,0.778979,115.74
12,0.145930,26.2257,0.773774,116.06
13,0.145622,26.2122,0.783299,115.02
14,0.144854,26.1931,0.781844,114.78
15,0.143850,26.2082,0.783124,114.91
16,0.143730,26.3020,0.784596,113.71
17,0.143296,26.2906,0.785654,113.35
18,0.142715,26.3279,0.786856,113.37
19,0.142470,26.3200,0.786106,113.33
20,0.141797,26.2747,0.786734,113.31
21,0.141387,26.3230,0.778127,113.32
22,0.141567,26.2603,0.787741,113.31
23,0.141012,26.3731,0.787043,113.30
24,0.140630,26.4078,0.784358,113.33
25,0.140778,26.2927,0.790016,113.32
26,0.140380,26.4049,0.788576,113.34
27,0.139913,26.4463,0.790393,113.34
28,0.139604,26.4369,0.788272,113.33
29,0.139634,26.4317,0.791025,113.31
30,0.139400,26.5056,0.790053,113.32
31,0.139225,26.4655,0.791481,113.32
32,0.138835,26.5110,0.789399,113.35
33,0.138625,26.4086,0.790559,113.31
34,0.138692,26.4083,0.789480,113.30
35,0.138426,26.3813,0.791141,113.32
36,0.138171,26.4374,0.792179,113.29
37,0.138152,26.4828,0.791727,113.30
38,0.137868,26.4802,0.792755,113.29
39,0.137778,26.5156,0.792896,113.32
40,0.137588,26.4506,0.793267,113.31
41,0.137384,26.5094,0.793521,113.30
42,0.137356,26.5505,0.792983,113.32
43,0.137127,26.5013,0.793609,113.33
44,0.137142,26.5289,0.793794,113.32
45,0.136997,26.5309,0.793724,113.27
46,0.136825,26.5299,0.794107,113.29
47,0.136733,26.5499,0.793676,113.31
48,0.136696,26.5102,0.794402,113.33
49,0.136635,26.5505,0.794327,113.37
50,0.136484,26.5322,0.794360,113.32
51,0.136526,26.5717,0.794022,113.32
52,0.136383,26.5361,0.794538,113.32
53,0.136329,26.5456,0.794450,113.32
54,0.136252,26.5653,0.794442,113.32
55,0.136234,26.5530,0.794645,113.30
56,0.136226,26.5565,0.794631,113.31
57,0.136174,26.5381,0.794811,113.31
58,0.136157,26.5562,0.794691,113.38
59,0.136166,26.5571,0.794706,113.30
60,0.136155,26.5554,0.794729,113.35
